"Country or Area","Year(s)","Value","Value Footnotes"
"United Arab Emirates","2007","0.97",""
"United Arab Emirates","2006","1.17",""
"United Arab Emirates","2005","1.38",""
"United Arab Emirates","2004","1.55",""
"United Arab Emirates","2003","1.65",""
"United Arab Emirates","2002","1.68",""
"United Arab Emirates","2001","1.67",""
"United Arab Emirates","2000","1.67",""
"United Arab Emirates","1999","1.69",""
"United Arab Emirates","1998","1.7",""
"United Arab Emirates","1997","1.71",""
"United Arab Emirates","1996","1.72",""
"United Arab Emirates","1995","1.73",""
"United Arab Emirates","1994","1.73",""
"United Arab Emirates","1993","1.74",""
"United Arab Emirates","1992","1.75",""
"United Arab Emirates","1991","1.76",""
"United Arab Emirates","1990","1.79",""
"United Kingdom","2012","23.06",""
"United Kingdom","2011","22.89",""
"United Kingdom","2010","22.68",""
"United Kingdom","2009","22.4",""
"United Kingdom","2008","22.07",""
"United Kingdom","2007","21.73",""
"United Kingdom","2006","21.41",""
"United Kingdom","2005","21.16",""
"United Kingdom","2004","20.97",""
"United Kingdom","2003","20.86",""
"United Kingdom","2002","20.79",""
"United Kingdom","2001","20.75",""
"United Kingdom","2000","20.71",""
"United Kingdom","1999","20.68",""
"United Kingdom","1998","20.66",""
"United Kingdom","1997","20.64",""
"United Kingdom","1996","20.64",""
"United Kingdom","1995","20.65",""
"United Kingdom","1994","20.67",""
"United Kingdom","1993","20.7",""
"United Kingdom","1992","20.73",""
"United Kingdom","1991","20.76",""
"United Kingdom","1990","20.78",""
"United Republic of Tanzania","2012","4.89",""
"United Republic of Tanzania","2011","4.87",""
"United Republic of Tanzania","2010","4.86",""
"United Republic of Tanzania","2009","4.84",""
"United Republic of Tanzania","2008","4.81",""
"United Republic of Tanzania","2007","4.78",""
"United Republic of Tanzania","2006","4.75",""
"United Republic of Tanzania","2005","4.72",""
"United Republic of Tanzania","2004","4.68",""
"United Republic of Tanzania","2003","4.65",""
"United Republic of Tanzania","2002","4.63",""
"United Republic of Tanzania","2001","4.6",""
"United Republic of Tanzania","2000","4.57",""
"United Republic of Tanzania","1999","4.54",""
"United Republic of Tanzania","1998","4.51",""
"United Republic of Tanzania","1997","4.49",""
"United Republic of Tanzania","1996","4.46",""
"United Republic of Tanzania","1995","4.44",""
"United Republic of Tanzania","1994","4.42",""
"United Republic of Tanzania","1993","4.4",""
"United Republic of Tanzania","1992","4.39",""
"United Republic of Tanzania","1991","4.37",""
"United Republic of Tanzania","1990","4.36",""
"United States of America","2012","19.31",""
"United States of America","2011","18.91",""
"United States of America","2010","18.51",""
"United States of America","2009","18.11",""
"United States of America","2008","17.72",""
"United States of America","2007","17.35",""
"United States of America","2006","17.03",""
"United States of America","2005","16.76",""
"United States of America","2004","16.56",""
"United States of America","2003","16.41",""
"United States of America","2002","16.32",""
"United States of America","2001","16.26",""
"United States of America","2000","16.23",""
"United States of America","1999","16.23",""
"United States of America","1998","16.25",""
"United States of America","1997","16.29",""
"United States of America","1996","16.35",""
"United States of America","1995","16.42",""
"United States of America","1994","16.49",""
"United States of America","1993","16.57",""
"United States of America","1992","16.64",""
"United States of America","1991","16.7",""
"United States of America","1990","16.73",""
"Uruguay","2012","18.59",""
"Uruguay","2011","18.48",""
"Uruguay","2010","18.38",""
"Uruguay","2009","18.27",""
"Uruguay","2008","18.17",""
"Uruguay","2007","18.07",""
"Uruguay","2006","17.97",""
"Uruguay","2005","17.87",""
"Uruguay","2004","17.76",""
"Uruguay","2003","17.64",""
"Uruguay","2002","17.53",""
"Uruguay","2001","17.43",""
"Uruguay","2000","17.36",""
"Uruguay","1999","17.3",""
"Uruguay","1998","17.27",""
"Uruguay","1997","17.24",""
"Uruguay","1996","17.2",""
"Uruguay","1995","17.15",""
"Uruguay","1994","17.06",""
"Uruguay","1993","16.95",""
"Uruguay","1992","16.82",""
"Uruguay","1991","16.67",""
"Uruguay","1990","16.51",""
"Uzbekistan","2012","6.38",""
"Uzbekistan","2011","6.25",""
"Uzbekistan","2010","6.16",""
"Uzbekistan","2009","6.11",""
"Uzbekistan","2008","6.11",""
"Uzbekistan","2007","6.13",""
"Uzbekistan","2006","6.18",""
"Uzbekistan","2005","6.24",""
"Uzbekistan","2004","6.31",""
"Uzbekistan","2003","6.39",""
"Uzbekistan","2002","6.46",""
"Uzbekistan","2001","6.52",""
"Uzbekistan","2000","6.55",""
"Uzbekistan","1999","6.53",""
"Uzbekistan","1998","6.48",""
"Uzbekistan","1997","6.41",""
"Uzbekistan","1996","6.35",""
"Uzbekistan","1995","6.31",""
"Uzbekistan","1994","6.3",""
"Uzbekistan","1993","6.32",""
"Uzbekistan","1992","6.35",""
"Uzbekistan","1991","6.39",""
"Uzbekistan","1990","6.41",""
"Vanuatu","2012","6.02",""
"Vanuatu","2011","5.88",""
"Vanuatu","2010","5.75",""
"Vanuatu","2009","5.62",""
"Vanuatu","2008","5.5",""
"Vanuatu","2007","5.38",""
"Vanuatu","2006","5.27",""
"Vanuatu","2005","5.19",""
"Vanuatu","2004","5.12",""
"Vanuatu","2003","5.08",""
"Vanuatu","2002","5.05",""
"Vanuatu","2001","5.04",""
"Vanuatu","2000","5.05",""
"Vanuatu","1999","5.06",""
"Vanuatu","1998","5.09",""
"Vanuatu","1997","5.13",""
"Vanuatu","1996","5.17",""
"Vanuatu","1995","5.2",""
"Vanuatu","1994","5.24",""
"Vanuatu","1993","5.27",""
"Vanuatu","1992","5.29",""
"Vanuatu","1991","5.3",""
"Vanuatu","1990","5.29",""
"Venezuela (Bolivarian Republic of)","2012","9.17",""
"Venezuela (Bolivarian Republic of)","2011","8.89",""
"Venezuela (Bolivarian Republic of)","2010","8.63",""
"Venezuela (Bolivarian Republic of)","2009","8.38",""
"Venezuela (Bolivarian Republic of)","2008","8.14",""
"Venezuela (Bolivarian Republic of)","2007","7.9",""
"Venezuela (Bolivarian Republic of)","2006","7.69",""
"Venezuela (Bolivarian Republic of)","2005","7.49",""
"Venezuela (Bolivarian Republic of)","2004","7.3",""
"Venezuela (Bolivarian Republic of)","2003","7.14",""
"Venezuela (Bolivarian Republic of)","2002","6.99",""
"Venezuela (Bolivarian Republic of)","2001","6.86",""
"Venezuela (Bolivarian Republic of)","2000","6.73",""
"Venezuela (Bolivarian Republic of)","1999","6.62",""
"Venezuela (Bolivarian Republic of)","1998","6.52",""
"Venezuela (Bolivarian Republic of)","1997","6.43",""
"Venezuela (Bolivarian Republic of)","1996","6.34",""
"Venezuela (Bolivarian Republic of)","1995","6.25",""
"Venezuela (Bolivarian Republic of)","1994","6.16",""
"Venezuela (Bolivarian Republic of)","1993","6.07",""
"Venezuela (Bolivarian Republic of)","1992","5.98",""
"Venezuela (Bolivarian Republic of)","1991","5.89",""
"Venezuela (Bolivarian Republic of)","1990","5.8",""
"Viet Nam","2012","9.32",""
"Viet Nam","2011","9.06",""
"Viet Nam","2010","8.86",""
"Viet Nam","2009","8.72",""
"Viet Nam","2008","8.65",""
"Viet Nam","2007","8.61",""
"Viet Nam","2006","8.61",""
"Viet Nam","2005","8.61",""
"Viet Nam","2004","8.61",""
"Viet Nam","2003","8.62",""
"Viet Nam","2002","8.63",""
"Viet Nam","2001","8.63",""
"Viet Nam","2000","8.63",""
"Viet Nam","1999","8.62",""
"Viet Nam","1998","8.59",""
"Viet Nam","1997","8.55",""
"Viet Nam","1996","8.5",""
"Viet Nam","1995","8.45",""
"Viet Nam","1994","8.39",""
"Viet Nam","1993","8.32",""
"Viet Nam","1992","8.25",""
"Viet Nam","1991","8.19",""
"Viet Nam","1990","8.13",""
"Yemen","2012","4.54",""
"Yemen","2011","4.51",""
"Yemen","2010","4.47",""
"Yemen","2009","4.42",""
"Yemen","2008","4.38",""
"Yemen","2007","4.33",""
"Yemen","2006","4.28",""
"Yemen","2005","4.25",""
"Yemen","2004","4.22",""
"Yemen","2003","4.21",""
"Yemen","2002","4.21",""
"Yemen","2001","4.23",""
"Yemen","2000","4.29",""
"Yemen","1999","4.39",""
"Yemen","1998","4.53",""
"Yemen","1997","4.68",""
"Yemen","1996","4.79",""
"Yemen","1995","4.83",""
"Yemen","1994","4.78",""
"Yemen","1993","4.64",""
"Yemen","1992","4.44",""
"Yemen","1991","4.24",""
"Yemen","1990","4.1",""
"Zambia","2012","3.95",""
"Zambia","2011","4",""
"Zambia","2010","4.04",""
"Zambia","2009","4.07",""
"Zambia","2008","4.09",""
"Zambia","2007","4.11",""
"Zambia","2006","4.12",""
"Zambia","2005","4.13",""
"Zambia","2004","4.15",""
"Zambia","2003","4.17",""
"Zambia","2002","4.2",""
"Zambia","2001","4.22",""
"Zambia","2000","4.25",""
"Zambia","1999","4.27",""
"Zambia","1998","4.3",""
"Zambia","1997","4.33",""
"Zambia","1996","4.35",""
"Zambia","1995","4.37",""
"Zambia","1994","4.39",""
"Zambia","1993","4.4",""
"Zambia","1992","4.41",""
"Zambia","1991","4.41",""
"Zambia","1990","4.41",""
"Zimbabwe","2012","5.68",""
"Zimbabwe","2011","5.65",""
"Zimbabwe","2010","5.63",""
"Zimbabwe","2009","5.6",""
"Zimbabwe","2008","5.58",""
"Zimbabwe","2007","5.56",""
"Zimbabwe","2006","5.52",""
"Zimbabwe","2005","5.47",""
"Zimbabwe","2004","5.39",""
"Zimbabwe","2003","5.3",""
"Zimbabwe","2002","5.2",""
"Zimbabwe","2001","5.11",""
"Zimbabwe","2000","5.02",""
"Zimbabwe","1999","4.95",""
"Zimbabwe","1998","4.89",""
"Zimbabwe","1997","4.84",""
"Zimbabwe","1996","4.8",""
"Zimbabwe","1995","4.75",""
"Zimbabwe","1994","4.71",""
"Zimbabwe","1993","4.67",""
"Zimbabwe","1992","4.63",""
"Zimbabwe","1991","4.6",""
"Zimbabwe","1990","4.57",""

